FID,MUNICUID,MUNICID,NAME,FIPSCODE,CREATEDBY,CREATEDDATE,MODIFIEDBY,MODIFIEDDATE,SHAPE_Length,SHAPE_Area
1,46,22,MEDLEY,1243900,,,,,28527.92769,18790909.01
2,32,31,SUNNY ISLES BEACH,1269555,,,,,56.61276758,236.8930264
3,141,30,UNINCORPORATED MIAMI-DADE,,,,,,802.4001626,35017.80583
4,164,30,UNINCORPORATED MIAMI-DADE,,,,,,151.7967304,1094.381605
5,17,31,SUNNY ISLES BEACH,1269555,,,,,58.85351448,260.627789
6,51,6,NORTH MIAMI,1249450,,,,,229.1612054,3039.462001
7,161,30,UNINCORPORATED MIAMI-DADE,,,,,,184.1271425,1686.550426
8,97,3,CORAL GABLES,1214250,nba,8/30/2010 9:06,,,75548.6352,44392925.81
9,27,31,SUNNY ISLES BEACH,1269555,,,,,34.92711145,92.50739333
10,9,30,UNINCORPORATED MIAMI-DADE,,,,,,1362.43159,102812.3542
11,109,30,UNINCORPORATED MIAMI-DADE,,,,,,239.7053401,1764.178581
12,140,9,SOUTH MIAMI,1267550,,,,,931.6292511,54206.02134
13,151,3,CORAL GABLES,1214250,,,,,365.5906175,4303.735464
14,126,9,SOUTH MIAMI,1267550,,,,,713.6797373,28642.35239
15,6,31,SUNNY ISLES BEACH,1269555,,,,,21433.28699,3237668.279
16,147,33,PALMETTO BAY,1254275,,,,,27349.63074,26961304.64
17,3,28,AVENTURA,1202681,nba,7/8/2008 10:19,,,29888.62129,9643549.747
18,82,22,MEDLEY,1243900,,,,,1347.159735,101419.5822
19,44,6,NORTH MIAMI,1249450,,,,,804.5507073,39956.06637
20,14,31,SUNNY ISLES BEACH,1269555,,,,,53.76422587,191.511884
21,123,30,UNINCORPORATED MIAMI-DADE,,,,,,25141.90946,5631997.663
22,157,30,UNINCORPORATED MIAMI-DADE,,,,,,4018.697079,383033.0187
23,118,1,MIAMI,1245000,,,,,433.7688444,11539.60256
24,150,3,CORAL GABLES,1214250,,,,,511.7500989,7694.632315
25,143,30,UNINCORPORATED MIAMI-DADE,,,,,,8865.260566,3382834.32
26,156,36,CUTLER BAY,1215968,,,,,26465.72637,32704127.11
27,117,1,MIAMI,1245000,,,,,22677.72885,4023808.197
28,129,9,SOUTH MIAMI,1267550,,,,,146.0640285,946.8007337
29,40,30,UNINCORPORATED MIAMI-DADE,,,,,,7396.096898,1024828.176
30,138,9,SOUTH MIAMI,1267550,,,,,197.9199156,2361.182349
31,8,30,UNINCORPORATED MIAMI-DADE,,,,,,1355.715179,76478.43172
32,28,31,SUNNY ISLES BEACH,1269555,,,,,36.69378833,98.67500439
33,127,30,UNINCORPORATED MIAMI-DADE,,,,,,201.9109638,2276.120418
34,2,19,GOLDEN BEACH,1226250,,,,,5895.503997,1146673.321
35,48,30,UNINCORPORATED MIAMI-DADE,,,,,,1792.859674,200892.4404
36,34,31,SUNNY ISLES BEACH,1269555,,,,,48.81071468,129.6154204
37,111,30,UNINCORPORATED MIAMI-DADE,,,,,,281.382231,4517.347987
38,137,9,SOUTH MIAMI,1267550,,,,,252.597831,3630.924926
39,38,31,SUNNY ISLES BEACH,1269555,,,,,21.31144864,33.99229899
40,24,31,SUNNY ISLES BEACH,1269555,,,,,72.65101315,358.4065165
41,25,31,SUNNY ISLES BEACH,1269555,,,,,42.91385107,136.4570387
42,144,24,KEY BISCAYNE,1236300,,,,,16835.43096,4016526.449
43,55,14,SURFSIDE,1270075,nba,7/8/2008 10:19,,,7103.151902,1827513.385
44,112,30,UNINCORPORATED MIAMI-DADE,,,,,,503.5997001,13747.3957
45,116,30,UNINCORPORATED MIAMI-DADE,,,,,,326.6791642,5643.119569
46,49,30,UNINCORPORATED MIAMI-DADE,,ruizj,5/30/2008 11:44,,,25.28638635,2.393509978
47,10,6,NORTH MIAMI,1249450,ruizj,4/4/2013 16:25,,,60334.21088,28366146.53
48,154,30,UNINCORPORATED MIAMI-DADE,,,,,,2679.242336,99329.45984
49,152,3,CORAL GABLES,1214250,,,,,1026.080212,29592.66819
50,70,11,MIAMI SHORES,1245175,,,,,353.8640121,7248.466984
51,91,1,MIAMI,1245000,,,,,807.0493229,19327.48987
52,13,31,SUNNY ISLES BEACH,1269555,,,,,50.82541978,180.8299695
53,41,30,UNINCORPORATED MIAMI-DADE,,,,,,15979.07866,7371541.4
54,100,30,UNINCORPORATED MIAMI-DADE,,,,,,4325.309619,1029686.232
55,133,9,SOUTH MIAMI,1267550,,,,,697.7250354,26764.00396
56,31,31,SUNNY ISLES BEACH,1269555,,,,,45.39824407,104.7448847
57,179,30,UNINCORPORATED MIAMI-DADE,,ruizj,5/16/2012 9:12,,,318.5632663,7438.839733
58,180,30,UNINCORPORATED MIAMI-DADE,,ruizj,5/16/2012 9:12,,,960.3363341,44844.67896
59,181,30,UNINCORPORATED MIAMI-DADE,,ruizj,5/16/2012 9:12,,,2609.414959,75055.53936
60,37,31,SUNNY ISLES BEACH,1269555,,,,,78.54950802,336.3502004
61,90,1,MIAMI,1245000,,,,,497.2291848,11160.08399
62,53,30,UNINCORPORATED MIAMI-DADE,,,,,,334.0620958,6624.592609
63,12,31,SUNNY ISLES BEACH,1269555,,,,,58.18086851,252.3720173
64,146,30,UNINCORPORATED MIAMI-DADE,,,,,,7777.601209,2104499.202
65,81,1,MIAMI,1245000,,,,,3193.134956,116653.4496
66,87,5,MIAMI SPRINGS,1245200,,,,,17307.76287,9629033.561
67,103,2,MIAMI BEACH,1245025,,,,,559.5227076,2802.202327
68,175,16,FLORIDA CITY,1222975,ruizj,1/8/2009 15:28,,,28791.79888,19348570.9
69,172,30,UNINCORPORATED MIAMI-DADE,,ruizj,5/16/2012 9:12,,,32269.29303,8406056.58
70,83,1,MIAMI,1245000,,,,,459.7403982,7101.887226
71,102,30,UNINCORPORATED MIAMI-DADE,,,,,,467.484185,6011.15582
72,142,30,UNINCORPORATED MIAMI-DADE,,,,,,375.4437734,8232.692292
73,29,31,SUNNY ISLES BEACH,1269555,,,,,45.7150111,141.072127
74,115,30,UNINCORPORATED MIAMI-DADE,,,,,,746.680839,20683.5797
75,106,30,UNINCORPORATED MIAMI-DADE,,,,,,862.0038046,25824.03887
76,80,23,NORTH BAY VILLAGE,1249225,,,,,3832.475896,750929.5743
77,84,1,MIAMI,1245000,,,,,124.8996735,969.9738991
78,64,14,SURFSIDE,1270075,,,,,36.51366411,70.92333713
79,101,2,MIAMI BEACH,1245025,,,,,8153.763091,138121.2646
80,108,30,UNINCORPORATED MIAMI-DADE,,,,,,492.1995283,8136.814727
81,98,2,MIAMI BEACH,1245025,,,,,2961.044907,80660.90601
82,149,3,CORAL GABLES,1214250,,,,,305.6425943,4863.290785
83,168,30,UNINCORPORATED MIAMI-DADE,,,,,,158.4289729,697.9185363
84,177,30,UNINCORPORATED MIAMI-DADE,,ruizj,5/16/2012 9:12,,,7206.451855,2068293.202
85,178,30,UNINCORPORATED MIAMI-DADE,,ruizj,5/16/2012 9:12,,,16929.43392,4936325.618
86,62,14,SURFSIDE,1270075,,,,,242.1828997,1548.611055
87,131,9,SOUTH MIAMI,1267550,,,,,956.2099168,50377.62467
88,69,2,MIAMI BEACH,1245025,,,,,1480.484471,13843.95732
89,15,31,SUNNY ISLES BEACH,1269555,,,,,64.32892552,290.9478721
90,58,21,INDIAN CREEK VILLAGE,1233425,nba,7/8/2008 10:19,,,5428.732201,1378898.023
91,26,31,SUNNY ISLES BEACH,1269555,,,,,68.25781576,299.1972886
92,166,30,UNINCORPORATED MIAMI-DADE,,,,,,88.40813221,514.6642096
93,134,30,UNINCORPORATED MIAMI-DADE,,,,,,621.2833421,16768.95755
94,68,2,MIAMI BEACH,1245025,,,,,1543.268176,14728.86693
95,76,23,NORTH BAY VILLAGE,1249225,,,,,4738.096944,436259.7709
96,124,9,SOUTH MIAMI,1267550,,,,,2116.588254,73102.57111
97,136,1,MIAMI,1245000,,,,,728.2057528,4536.057871
98,176,30,UNINCORPORATED MIAMI-DADE,,ruizj,5/16/2012 9:12,,,2814.517268,307051.5356
99,60,30,UNINCORPORATED MIAMI-DADE,,,,,,4184.092649,704829.3904
100,20,31,SUNNY ISLES BEACH,1269555,,,,,75.66788861,283.9387873
101,105,30,UNINCORPORATED MIAMI-DADE,,,,,,338.8418612,7249.160215
102,61,30,UNINCORPORATED MIAMI-DADE,,,,,,819.4595999,22525.31767
103,165,30,UNINCORPORATED MIAMI-DADE,,,,,,179.4099644,1375.65868
104,125,9,SOUTH MIAMI,1267550,,,,,4065.06117,339408.1523
105,89,1,MIAMI,1245000,,,,,195.1363285,2612.589451
106,22,31,SUNNY ISLES BEACH,1269555,,,,,43.61514887,134.1196809
107,35,7,NORTH MIAMI BEACH,1249475,,,,,2238.745546,126568.2578
108,174,30,UNINCORPORATED MIAMI-DADE,,,,,,1435.942678,8809.58397
109,104,15,WEST MIAMI,1276525,,,,,8292.336467,2274966.202
110,49,30,UNINCORPORATED MIAMI-DADE,,nba,6/25/2010 11:56,,,47363.12754,51966095.23
111,5,34,MIAMI GARDENS,1245060,,,,,35206.15232,61116003.64
112,73,2,MIAMI BEACH,1245025,,,,,3614.117109,90861.21482
113,42,8,OPA-LOCKA,1251650,,,,,17943.92943,14434071.59
114,77,1,MIAMI,1245000,,,,,894.6558202,27592.34074
115,107,30,UNINCORPORATED MIAMI-DADE,,,,,,502.1669687,9190.111034
116,99,30,UNINCORPORATED MIAMI-DADE,,,,,,8491.836726,669977.5716
117,67,11,MIAMI SHORES,1245175,,,,,348.9798887,5637.260816
118,159,30,UNINCORPORATED MIAMI-DADE,,,,,,172.3208465,432.3412891
119,33,31,SUNNY ISLES BEACH,1269555,,,,,60.11954144,211.7025204
120,184,30,UNINCORPORATED MIAMI-DADE,,,,,,2282.6052,171882.6819
121,45,12,BAL HARBOUR,1203275,,,,,5518.840772,1249399.316
122,65,2,MIAMI BEACH,1245025,,,,,12821.07758,1011882.583
